baseid	url	file_name	acl	state	version	storageclass	deletereason	release	project_id	type	id	md5	size
1758a272-90ad-459a-8bac-a467e3c93464	s3://s3-external-1.amazonaws.com/gdcbackup/23fdde5d-f06f-45d0-9552-232c5e076e63	TCGA-12-0821-01Z-00-DX2.E0F30115-B141-451C-84F1-64839ED91D24.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	3b464efc-8087-4b71-8015-73a0d466ca6f	14789cf5b56ef28ca5be9051903b8826	97715808
24fd16ec-f066-4116-983e-b04c958c76ec	s3://s3-external-1.amazonaws.com/gdcbackup/625c5744-8345-4ffa-b045-6da16e32a43a	TCGA-D5-7000-01Z-00-DX1.fb08c430-2c8c-486b-a39d-7d28c5eae189.svs	[u'open']	released	1	GLACIER		12.0	TCGA-COAD	active	c0ab9f1a-d7ee-4e8b-8134-71063678f23c	5aa7644843b9bc14ee099337a984ffe7	97777595
8932e1ad-ba3d-43e7-8f8f-da6844813b28	s3://s3-external-1.amazonaws.com/gdcbackup/d156567f-9fde-488e-9d5e-fcd4abe38ac7	TCGA-SX-A7SU-01Z-00-DX1.3EB1265B-F8CF-4703-88DB-7DC4E1D7E9C8.svs	[u'open']	released	1	GLACIER		12.0	TCGA-KIRP	active	1799aaf5-477d-473f-b77f-60d941ac9f6f	5d8c9d2a69b8c917cd5a683aa2b6c7ef	97884775
90159a43-8463-4241-b2c4-fd6d69a3034f	s3://s3-external-1.amazonaws.com/gdcbackup/c5b8931f-b45a-4b57-adc9-27b4cef528e6	TCGA-HC-7075-01Z-00-DX1.38ecaf2d-62ed-4d1c-8e88-0e757cffe77c.svs	[u'open']	released	1	GLACIER		12.0	TCGA-PRAD	active	810a1946-d96d-4c0f-8f12-a5a8eafff663	7ce43cf042f7971a82795f4e7f3db4c4	97927565
9b4ba2c6-2f51-42c6-a652-61963c5eb198	s3://s3-external-1.amazonaws.com/gdcbackup/2cbb34c7-e70d-4bf1-b6d7-b1ecf6689e89	TCGA-JX-A5QV-01Z-00-DX1.90769414-2C5C-4BAA-A432-9FC0A15EEF5A.svs	[u'open']	released	1	GLACIER		12.0	TCGA-CESC	active	47959a9b-63da-4481-8b81-05dda1e8f915	25c24dedbd2034cb65863cc63deaeaaa	97984944
c08ba7a8-c1e1-4d98-82f9-8b97952e4802	s3://s3-external-1.amazonaws.com/gdcbackup/868b41c3-c27b-4b44-86d5-37b50fcd6337	TCGA-HC-7819-01Z-00-DX1.9208cfe7-825f-4535-959c-ca470b61b562.svs	[u'open']	released	1	GLACIER		12.0	TCGA-PRAD	active	84e4c40c-51cb-4c75-9648-ec07d5bca990	944bde55c6d0a5c91b0c9f341007e6eb	98088977
af93db5e-cbfe-44c6-84b1-3e457e7fa754	s3://s3-external-1.amazonaws.com/gdcbackup/8da40916-9568-493f-8596-efe23ef771e2	TCGA-06-1087-01Z-00-DX1.2498ed55-5e6d-4e65-9a5d-f9be74c5f250.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	74207133-d6d5-47c3-924a-c0b252d2c6d0	872faba418101fab92bb0e15b1cd10d6	98172777
b80480d0-adc8-46d5-b34e-38ecac75e797	s3://s3-external-1.amazonaws.com/gdcbackup/f52a6b96-7993-46e6-a075-78db5a172f58	TCGA-DU-6399-01Z-00-DX1.1a964643-a0f0-4338-8976-3bf5f832236c.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	d5ce9951-d2e6-4e10-bed7-9f70a0125bc9	4a757692826db77a863ba0a42f706e9a	98191121
0ce768df-375a-40d2-9d45-7a8aff9096d4	s3://s3-external-1.amazonaws.com/gdcbackup/43e8f38a-ea22-4837-9c68-4ba8d5af58ef	TCGA-EM-A3AP-01Z-00-DX1.1CB5C0D0-FBDA-4B42-928B-937D096235E7.svs	[u'open']	released	1	GLACIER		12.0	TCGA-THCA	active	f2401217-1ce6-4501-8f19-5c82ae3a71ef	14ca29fe4034367b521e5952033cbf6c	98191430
c9923ec8-8ea8-4096-9226-8b7f861e609b	s3://s3-external-1.amazonaws.com/gdcbackup/44ce9ed2-eaf5-493e-ad8a-d2154f5bb317	TCGA-44-8119-01Z-00-DX1.1EBEBFA7-22DB-4365-9DF8-C4E679C11312.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LUAD	active	c45ba948-1b28-4542-86a9-3984ecae2db5	ebcee7d9dd042ec019c15b9408a07218	98474973
